"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CH","2008-09-30","84.1","-1.81","6.14","Nick Blackburn",123272,448147,"home_run","hit_into_play_score",,,,,"21","Jim Thome homers (35) on a fly ball to center field.  ","R","L","R","CWS","MIN","X","null","fly_ball",2,2,2008,"-1.10","1.72","-0.59","3.23","null","null","null",0,7,"Bot","103.41","16.06",,,"null",,"080930_201640",5.092,-122.356,-3.575,-10.35,28.463,-16.287,"3.49","1.79","null","null","null","null","null","null",246789,448147,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",45,"5","Changeup",0,0,0,0,0,0,0,0,"null","null"
"SL","2008-09-29","89.6","-2.37","6.41","Gary Glover",493351,150474,"home_run","hit_into_play_score",,,,,"2","Alexei Ramirez hits a grand slam (21) to left field.   Jermaine Dye scores.    Paul Konerko scores.    Ken GriffeyJr.  ","R","R","R","CWS","DET","X","null","fly_ball",0,0,2008,"-0.09","1.55","0.05","2.89",113679,117244,115135,1,6,"Bot","50.20","40.16",,,"null",,"080929_182240",6.102,-130.169,-5.872,0.491,29.65,-16.13,"3.49","1.50","null","null","null","null","null","null",235955,150474,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",51,"1","Slider",2,2,2,2,2,2,2,2,"null","null"
"FT","2008-09-28","90.9","-3.11","5.69","Chris Lambert",450314,461836,"home_run","hit_into_play_score",,,,,"6","Ben Zobrist homers (12) on a line drive to right field.  ","R","L","R","DET","TB","X","null","line_drive",2,1,2008,"-1.72","0.87","0.51","2.71","null","null","null",0,11,"Top","207.83","57.23",,,"null",,"080928_163615",13.321,-131.669,-3.18,-20.256,26.083,-23.862,"3.38","1.50","null","null","null","null","null","null",236184,461836,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",91,"4","2-Seam Fastball",7,7,7,7,7,7,7,7,"null","null"
"SL","2008-09-28","88.4","-1.40","6.11","Edwin Jackson",120044,429719,"home_run","hit_into_play_score",,,,,"5","Magglio Ordonez homers (21) on a line drive to left center field.   Gary Sheffield scores.  ","R","R","R","DET","TB","X","null","line_drive",2,2,2008,"0.33","0.77","0.02","2.64","null","null",122111,0,9,"Bot","55.22","33.13",,,"null",,"080928_160853",2.528,-128.659,-3.819,5.515,26.64,-25.433,"3.19","1.48","null","null","null","null","null","null",236184,429719,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",78,"6","Slider",5,7,5,7,7,5,5,7,"null","null"
"CH","2008-09-28","81.1","-2.68","5.63","Marco Estrada",122644,462136,"home_run","hit_into_play_score",,,,,"4","Matt Stairs homers (13) on a fly ball to right field.  ","R","L","R","PHI","WSH","X","null","fly_ball",0,0,2008,"-1.36","1.05","-0.45","2.60","null","null","null",1,8,"Bot","206.83","79.32",,,"null",,"080928_160259",7.809,-117.782,-1.844,-12.265,24.951,-23.824,"3.98","1.72","null","null","null","null","null","null",236187,462136,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",69,"1","Changeup",7,3,7,3,3,7,7,3,"null","null"
"FF","2008-09-28","91.7","-2.31","5.73","Marco Estrada",453974,462136,"home_run","hit_into_play_score",,,,,"36","Lou Marson homers (1) on a fly ball to left field.   Greg Golson scores.  ","R","R","R","PHI","WSH","X","null","fly_ball",1,2,2008,"-1.40","1.83","-1.08","1.91","null","null",449172,1,8,"Bot","36.14","82.33",,,"null",,"080928_160216",6.294,-133.225,-7.69,-16.127,32.853,-11.974,"3.88","1.69","null","null","null","null","null","null",236187,462136,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",68,"4","4-Seam Fastball",5,3,5,3,3,5,5,3,"null","null"
"CU","2008-09-28","79.3","-1.02","5.22","Luis Ayala",462564,425646,"home_run","hit_into_play_score",,,,,"6","Dan Uggla homers (32) on a fly ball to left field.  ","R","R","R","NYM","FLA","X","null","fly_ball",3,2,2008,"0.12","0.30","0.48","2.31","null","null","null",0,8,"Top","37.15","50.20",,,"null",,"080928_161924",2.912,-115.499,0.137,2.487,18.8,-31.173,"3.24","1.53","null","null","null","null","null","null",236178,425646,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",57,"6","Curveball",2,3,3,2,3,2,3,2,"null","null"
"FT","2008-09-28","92.0","-1.14","5.64","Bob Howry",460075,133982,"home_run","hit_into_play_score",,,,,"4","Ryan Braun homers (37) on a fly ball to left field.   Mike Cameron scores.  ","R","R","R","MIL","CHC","X","null","fly_ball",0,0,2008,"-1.86","1.09","-0.40","2.71","null","null",111904,2,8,"Bot","38.15","54.22",,,"null",,"080928_152117",6.212,-133.799,-3.758,-22.425,30.709,-20.931,"3.24","1.59","null","null","null","null","null","null",236174,133982,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",57,"1","2-Seam Fastball",1,1,1,1,1,1,1,1,"null","null"
"SI","2008-09-28","89.5","2.61","5.35","Scott Schoeneweis",136500,150011,"home_run","hit_into_play_score",,,,,"38","Wes Helms homers (5) on a line drive to left center field.  ","R","R","L","NYM","FLA","X","null","line_drive",1,1,2008,"1.04","1.30","-0.17","1.57","null","null","null",0,8,"Top","64.26","40.16",,,"null",,"080928_161435",-10.043,-129.833,-6.201,14.737,20.613,-18.641,"3.22","1.59","null","null","null","null","null","null",236178,150011,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",56,"3","Sinker",2,2,2,2,2,2,2,2,"null","null"
"SI","2008-09-28","90.7","-2.73","5.35","Manny Corpas",455759,466918,"home_run","hit_into_play_score",,,,,"27","Chris Young homers (23) on a fly ball to left field.  ","R","R","R","ARI","COL","X","null","fly_ball",1,0,2008,"-1.27","0.59","-0.99","2.34","null","null","null",1,8,"Bot","40.16","37.15",,,"null",,"080928_150232",7.275,-131.839,-2.565,-14.369,28.399,-27.347,"3.90","1.92","null","null","null","null","null","null",236177,466918,"null","null","null","null","null","null","null","null","50.00","null","null","2.00","null",0,3,"null",58,"2","Sinker",0,1,0,1,1,0,0,1,"null","null"
